#loc_id;ags;ascii;name;lat;lon;amt;plz;vorwahl;einwohner;flaeche;kz;typ;level;of;invalid
22778;01051090;RAMHUSEN;Ramhusen;53.949558518314;9.08320154838833;Amt Marne-Land;25715;04851;163;5;HEI;Gemeinde;6;258;
22901;01051092;REHM-FLEHDE-BARGEN;Rehm-Flehde-Bargen;54.30274;9.03695;Amt Lunden;25776;04882;609;15;HEI;Gemeinde;6;258;
22959;01051093;REINSBUETTEL;Reinsbüttel;54.17742;8.91534;Amt Wesselburen-Land;25764;04823;427;7;HEI;Gemeinde;6;258;
23525;01051096;ST. ANNEN;Sankt Annen, Dithmarschen;54.3500100864308;9.08330614671705;Amt Lunden;25776;04882;355;15;HEI;Gemeinde;6;258;
23547;01051097;ST. MICHAELISDONN;Sankt Michaelisdonn;53.9876896001851;9.11705572002205;Amt Eddelak-Sankt Michaelisdonn;25693;04853;3728;23;HEI;Gemeinde;6;258;
23565;01051098;SARZBUETTEL;Sarzbüttel;54.1175713056604;9.18423024160855;Amt Meldorf-Land;25785;04806;735;13;HEI;Gemeinde;6;258;
23608;01051099;SCHAFSTEDT;Schafstedt, Dithmarschen;54.0798540473944;9.2937088343792;Amt Albersdorf;25725;04805;1343;18;HEI;Gemeinde;6;258;
23613;01051100;SCHALKHOLZ;Schalkholz;54.2462679464539;9.25704658175055;Amt Tellingstedt;25782;04838;595;13;HEI;Gemeinde;6;258;
23755;01051102;SCHLICHTING;Schlichting, Dithmarschen;54.3168789312225;9.09705683732573;Amt Hennstedt;25776;04836;239;13;HEI;Gemeinde;6;258;
23786;01051103;SCHMEDESWURTH;Schmedeswurth;53.9262482259261;9.04012996547493;Amt Marne-Land;25724;04851;215;6;HEI;Gemeinde;6;258;
23962;01051104;SCHRUM;Schrum, Dithmarschen;54.185915602344;9.2518283441122;Amt Albersdorf;25782;04835;77;5;HEI;Gemeinde;6;258;
23967;01051105;SCHUELP;Schülp, Dithmarschen;54.24205;8.92995;Amt Wesselburen-Land;25764;04823;489;9;HEI;Gemeinde;6;258;
24587;01051107;STELLE-WITTENWURTH;Stelle-Wittenwurth;54.25338;9.06222;Amt Weddingstedt;25795;04837;486;11;HEI;Gemeinde;6;258;
24694;01051108;STRUEBBEL;Strübbel;54.26368;8.96816;Amt Wesselburen-Land;25792;04823;96;4;HEI;Gemeinde;6;258;
24727;01051109;SUEDERDEICH;Süderdeich, Dithmarschen;54.20061;8.90874;Amt Wesselburen-Land;25764;04823;536;7;HEI;Gemeinde;6;258;
24733;01051110;SUEDERHASTEDT;Süderhastedt, Holstein;54.05037;9.20955;Amt Burg-Süderhastedt;25727;04830;874;16;HEI;Gemeinde;6;258;
24734;01051111;SUEDERHEISTEDT;Süderheistedt;54.23626;9.14855;Amt Hennstedt;25779;04836;542;6;HEI;Gemeinde;6;258;
26342;01051113;WOEHRDEN;Wöhrden, Dithmarschen;54.16622;8.9963;Amt Heide-Land;25797;04839;1334;22;HEI;Gemeinde;6;258;
24875;01051114;TELLINGSTEDT;Tellingstedt;54.2199780527459;9.28276427233771;Amt Tellingstedt;25782;04838;2493;21;HEI;Gemeinde;6;258;
24988;01051117;TIELENHEMME;Tielenhemme;54.2687005383462;9.36597511315886;Amt Tellingstedt;25794;04838;178;13;HEI;Gemeinde;6;258;
25079;01051118;TRENNEWURTH;Trennewurth;54.0002542606926;9.03024870746407;Amt Marne-Land;25693;04851;269;8;HEI;Gemeinde;6;258;
25471;01051119;VOLSEMENHUSEN;Volsemenhusen;53.9693549681431;9.07000172727379;Amt Marne-Land;25693;04851;368;17;HEI;Gemeinde;6;258;
25614;01051120;WALLEN;Wallen, Holstein;54.286615332734;9.26941821034433;Amt Tellingstedt;25788;04838;37;2;HEI;Gemeinde;6;258;
25721;01051121;WARWERORT;Warwerort;54.13887;8.92057;Amt Büsum;25761;04834;284;5;HEI;Gemeinde;6;258;
25757;01051122;WEDDINGSTEDT;Weddingstedt;54.24119;9.08817;Amt Weddingstedt;25795;0481;2321;18;HEI;Gemeinde;6;258;
25913;01051125;WELMBUETTEL;Welmbüttel;54.197477375836;9.24593620145873;Amt Tellingstedt;25782;04838;465;8;HEI;Gemeinde;6;258;
25946;01051126;WENNBUETTEL;Wennbüttel;54.138877232781;9.32349696899013;Amt Albersdorf;25767;04835;77;5;HEI;Gemeinde;6;258;
26008;01051127;WESSELBUREN;Wesselburen;54.2119;8.92084;;25764;04833;3112;5;HEI;Stadt;6;258;
26009;01051128;WESSELBURENER DEICHHAUSEN;Wesselburener Deichhausen;54.17562;8.93801;Amt Wesselburen-Land;25764;04823;142;5;HEI;Gemeinde;6;258;
26010;01051129;WESSELBURENERKOOG;Wesselburenerkoog;54.23974;8.87695;Amt Wesselburen-Land;25764;04823;151;22;HEI;Gemeinde;6;258;
26012;01051130;WESSELN;Wesseln, Dithmarschen;54.20767;9.07566;Amt Weddingstedt;25746;0481;1352;4;HEI;Gemeinde;6;258;
26024;01051131;WESTERBORSTEL;Westerborstel;54.2201936824486;9.2604295178707;Amt Tellingstedt;25782;04838;98;4;HEI;Gemeinde;6;258;
26026;01051132;WESTERDEICHSTRICH;Westerdeichstrich;54.16132;8.86023;Amt Büsum;25761;04834;908;7;HEI;Gemeinde;6;258;
26109;01051133;WIEMERSTEDT;Wiemerstedt;54.26782;9.11235;Amt Hennstedt;25779;04836;165;5;HEI;Gemeinde;6;258;
26221;01051134;WINDBERGEN;Windbergen;54.0453;9.11905;Amt Meldorf-Land;25729;04859;841;17;HEI;Gemeinde;6;258;
26414;01051135;WOLMERSDORF;Wolmersdorf;54.07715;9.10363;Amt Meldorf-Land;25704;04832;345;6;HEI;Gemeinde;6;258;
26454;01051136;WROHM;Wrohm, Dithmarschen;54.2127447881436;9.37984816873626;Amt Tellingstedt;25799;04802;732;11;HEI;Gemeinde;6;258;
21783;01051137;NORDERMELDORF;Nordermeldorf;54.13136;8.99435;Amt Meldorf-Land;25704;04832;649;34;HEI;Gemeinde;6;258;
24886;01051138;TENSBUETTEL-ROEST;Tensbüttel-Röst;54.1089794349486;9.24357700678635;Amt Albersdorf;25767;04835;692;19;HEI;Gemeinde;6;258;
24728;01051139;SUEDERDORF;Süderdorf;54.2193617376415;9.34410840416507;Amt Tellingstedt;25782;04838;396;16;HEI;Gemeinde;6;258;
22095;01051140;OESTERWURTH;Oesterwurth;54.21255;8.98353;Amt Wesselburen-Land;25764;04823;274;14;HEI;Gemeinde;6;258;
463;01053;LAUENBURG;Herzogtum Lauenburg;53.6013265151515152;10.586605303030303;;;;186255;1202;RZ;Kreis;5;119;
13475;01053001;ALBSFELDE;Albsfelde;53.68057;10.69432;Amt Ratzeburg-Land;23909;04541;59;4;RZ;Gemeinde;6;463;
13623;01053002;ALT MOELLN;Alt Mölln;53.62249;10.65775;Amt Breitenfelde;23881;04542;874;6;RZ;Gemeinde;6;463;
13824;01053003;AUMUEHLE;Aumühle bei Hamburg;53.52818;10.31357;Amt Aumühle-Wohltorf;21521;04104;3092;3;RZ;Gemeinde;6;463;
14022;01053004;BAEK;Bäk bei Ratzeburg;53.71405;10.78621;Amt Ratzeburg-Land;23909;04541;808;4;RZ;Gemeinde;6;463;
14023;01053005;BAELAU;Bälau;53.61672;10.62172;Amt Breitenfelde;23881;04542;237;7;RZ;Gemeinde;6;463;
14141;01053006;BASEDOW;Basedow, Kreis Herzogtum Lauenburg;53.4174161542424;10.5836433227539;Amt Lütau;21483;04155;686;7;RZ;Gemeinde;6;463;
14145;01053007;BASTHORST;Basthorst, Kreis Herzogtum Lauenburg;53.57803;10.47128;Amt Schwarzenbek-Land;21493;04151;388;11;RZ;Gemeinde;6;463;
14211;01053008;BEHLENDORF;Behlendorf;53.69922;10.66799;Amt Berkenthin;23919;04544;395;10;RZ;Gemeinde;6;463;
14352;01053009;BERKENTHIN;Berkenthin;53.73066;10.64776;Amt Berkenthin;23919;04544;2047;10;RZ;Gemeinde;6;463;
14408;01053010;BESENTHAL;Besenthal;53.53021;10.74237;Amt Gudow-Sterley;23899;04547;76;13;RZ;Gemeinde;6;463;
14604;01053011;BLIESTORF;Bliestorf;53.76881;10.60245;Amt Berkenthin;23847;04501;702;10;RZ;Gemeinde;6;463;
14700;01053012;BOERNSEN;Börnsen;53.46926;10.28125;Amt Hohe Elbgeest;21039;04104;3847;8;RZ;Gemeinde;6;463;
14809;01053013;BORSTORF;Borstorf;53.61371;10.56475;Amt Breitenfelde;23881;04542;305;9;RZ;Gemeinde;6;463;
14918;01053014;BREITENFELDE;Breitenfelde, Kreis Herzogtum Lauenburg;53.60683;10.63049;Amt Breitenfelde;23881;04542;1791;13;RZ;Gemeinde;6;463;
14996;01053015;BROETHEN;Bröthen, Kreis Herzogtum Lauenburg;53.48024;10.66704;Amt Büchen;21514;04155;273;11;RZ;Gemeinde;6;463;
15052;01053016;BRUNSMARK;Brunsmark;53.61715;10.74933;Amt Gudow-Sterley;23883;04547;153;4;RZ;Gemeinde;6;463;
15053;01053017;BRUNSTORF;Brunstorf, Kreis Herzogtum Lauenburg;53.49403;10.4219;Amt Schwarzenbek-Land;21524;04151;615;14;RZ;Gemeinde;6;463;
15091;01053018;BUCHHOLZ;Buchholz bei Ratzeburg;53.73093;10.7453;Amt Ratzeburg-Land;23911;04541;243;3;RZ;Gemeinde;6;463;
15096;01053019;BUCHHORST;Buchhorst, Kreis Herzogtum Lauenburg;53.38633;10.56469;Amt Lütau;21481;04153;157;5;RZ;Gemeinde;6;463;
15106;01053020;BUECHEN;Büchen, Lauenburg;53.48324;10.6135400000001;Amt Büchen;21514;04155;5524;17;RZ;Gemeinde;6;463;
15394;01053021;DAHMKER;Dahmker;53.58782;10.44471;Amt Schwarzenbek-Land;22946;04151;152;2;RZ;Gemeinde;6;463;
15405;01053022;DALLDORF;Dalldorf, Kreis Herzogtum Lauenburg;53.43459;10.61192;Amt Lütau;21483;039264;354;6;RZ;Gemeinde;6;463;
15449;01053023;DASSENDORF;Dassendorf;53.49119;10.37336;Amt Hohe Elbgeest;21521;04104;3088;8;RZ;Gemeinde;6;463;
15858;01053024;DUECHELSDORF;Düchelsdorf;53.73666;10.58349;Amt Berkenthin;23847;04544;158;3;RZ;Gemeinde;6;463;
15895;01053025;DUVENSEE;Duvensee;53.69265;10.56852;Amt Nusse;23898;04543;537;12;RZ;Gemeinde;6;463;
16061;01053026;EINHAUS;Einhaus bei Ratzeburg;53.71399;10.73405;Amt Ratzeburg-Land;23911;04541;392;3;RZ;Gemeinde;6;463;
16138;01053027;ELMENHORST;Elmenhorst, Kreis Herzogtum Lauenburg;53.54535;10.53587;Amt Schwarzenbek-Land;21493;04151;925;13;RZ;Gemeinde;6;463;
16321;01053028;ESCHEBURG;Escheburg;53.46655;10.30924;Amt Hohe Elbgeest;21039;04152;3089;9;RZ;Gemeinde;6;463;
16521;01053029;FITZEN;Fitzen;53.49452;10.64661;Amt Büchen;21514;04155;364;9;RZ;Gemeinde;6;463;
16624;01053030;FREDEBURG;Fredeburg bei Ratzeburg;53.67272;10.72476;Amt Ratzeburg-Land;23909;04541;38;10;RZ;Gemeinde;6;463;
16771;01053031;FUHLENHAGEN;Fuhlenhagen;53.5747021129107;10.5261449996948;Amt Schwarzenbek-Land;21493;04151;293;6;RZ;Gemeinde;6;463;
16875;01053032;GEESTHACHT;Geesthacht;53.43018;10.3741;;21502;04152;29403;33;RZ;Stadt;6;463;
